Parametro_backend,Parametro_mostrar,Unidad,Tipo_dato,Tipo_umbral,Base_umbral,Valor_min,Valor_max,Usa_sexo_biologico,Usa_ayuno,Categoria_alto,Causas_alto,Categoria_bajo,Causas_bajo,Prioridad_clinica,Dominio_principal,Es_driver,Es_guardrail,Nota
ggt_u_l,GGT,U/L,numerico,reference,laboratorio,10,50,no,no,GGT elevada,"Colestasis; alcohol; hígado graso; fármacos inductores enzimáticos",GGT baja,"Sin relevancia clínica habitual",media,liver,si,no,Marcador sensible pero poco específico
alp_u_l,ALP,U/L,numerico,reference,laboratorio,40,130,no,no,ALP elevada,"Colestasis; enfermedad ósea; fractura en reparación; Paget; metástasis óseas; embarazo",ALP baja,"Malnutrición; hipofosfatasia; déficit zinc/magnesio; hipotiroidismo",media,liver,no,no,Interpretar con GGT
bilirubin_total_mg_dl,Bilirrubina total,mg/dL,numerico,reference,laboratorio,0.2,1.2,no,no,Hiperbilirrubinemia,"Hemólisis; Gilbert; hepatitis; colestasis; obstrucción biliar",Bilirrubina baja,"Sin relevancia clínica habitual",media,liver,no,no,Fraccionar si está elevada
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.7,1.3,si,no,Creatinina elevada,"Disminución filtrado renal; deshidratación; masa muscular alta; rabdomiólisis; fármacos",Creatinina baja,"Baja masa muscular; caquexia; embarazo; hepatopatía avanzada",media,kidney,si,no,Interpretar con eGFR; usar override por sexo biológico
egfr_ml_min_1_73m2,eGFR,mL/min/1.73m2,numerico,clinical_cutoff,guia_clinica,60,,no,no,eGFR bajo,"ERC; insuficiencia renal aguda; envejecimiento; nefropatía diabética; nefropatía hipertensiva",Hiperfiltración,"Diabetes temprana; obesidad; embarazo; hiperfiltración glomerular",alta,kidney,si,si,<60 persistente sugiere ERC
uric_acid_mg_dl,Ácido úrico,mg/dL,numerico,reference,laboratorio,3.5,7.2,no,no,Hiperuricemia,"Gota; síndrome metabólico; alcohol; diuréticos; lisis tumoral; insuficiencia renal; alta ingesta purinas",Ácido úrico bajo,"SIADH; fármacos uricosúricos; hepatopatía; tubulopatías",media,kidney,no,no,Interpretar con función renal y contexto
urea_mg_dl,Urea,mg/dL,numerico,reference,laboratorio,15,40,no,no,Urea alta,"Deshidratación; catabolismo; hemorragia digestiva; insuficiencia renal; dieta rica en proteínas",Urea baja,"Hepatopatía; malnutrición; baja ingesta proteica; embarazo",media,kidney,no,no,Puede expresarse como urea o BUN
bmi_kg_m2,BMI,kg/m2,numerico,reference,guia_clinica,18.5,24.9,no,no,IMC alto,"Sobrepeso; obesidad",IMC bajo,"Bajo peso; desnutrición; sarcopenia; enfermedad crónica",media,context,no,no,Indicador poblacional; no mide composición corporal
waist_cm,Cintura,cm,numerico,clinical_cutoff,guia_clinica,0,94,si,no,Obesidad abdominal,"Obesidad abdominal; síndrome metabólico; riesgo cardiometabólico",,No aplica,alta,context,no,si,Usar override por sexo biológico
age_years,Edad,anos,contexto,relative_orientation,motor_operativo,18,120,no,no,No aplica,No aplica,No aplica,No aplica,baja,context,no,no,Variable de contexto demográfico
sex,Sexo,categorico,contexto,relative_orientation,motor_operativo,,,no,no,No aplica,No aplica,No aplica,No aplica,baja,context,no,no,Sexo biológico para interpretación analítica
